date,time,air_pressure (mbar),air_temperature (Celsius),dew_point_temperature (Celsius),relative_humidity (%),wind_speed (m s-1),wind_speed_of_gust (m s-1),wind_to_direction (degrees_true) 
2015-05-01,00:30:00,1012.191971,22.67,-999.0,66.43,6.1,-999.0,244.5 
2015-05-01,01:30:00,1012.53061,22.74,-999.0,66.8,5.46,-999.0,263.7 
2015-05-01,02:30:00,1013.207888,22.8,-999.0,72.29,5.38,-999.0,257.9 
2015-05-01,03:30:00,1013.546527,22.53,-999.0,78.56,3.76,-999.0,267.4 
2015-05-01,04:30:00,1013.546527,22.74,-999.0,66.97,3.52,-999.0,291.9 
2015-05-01,05:30:00,1013.546527,22.03,-999.0,73.54,3.76,-999.0,298.3 
2015-05-01,06:30:00,1013.207888,22.06,-999.0,66.29,4.68,-999.0,306.3 
2015-05-01,07:30:00,1012.53061,21.82,-999.0,67.68,4.34,-999.0,312.9 
2015-05-01,08:30:00,1012.53061,21.38,-999.0,68.53,5.08,-999.0,327.8 
2015-05-01,09:30:00,1012.869249,20.57,-999.0,69.45,5.1,-999.0,339.1 
2015-05-01,10:00:00,1013.207888,20.04,-999.0,70.2,4.58,-999.0,347.0 
2015-05-01,11:30:00,1014.223805,18.59,-999.0,67.09,6.35,-999.0,2.831 
2015-05-01,12:30:00,1014.901083,17.27,-999.0,70.55,7.1,-999.0,35.46 
2015-05-01,13:30:00,1015.578361,18.12,-999.0,61.13,7.65,-999.0,59.5 
2015-05-01,14:30:00,1015.917,19.5,-999.0,54.28,6.9,-999.0,55.89 
2015-05-01,15:30:00,1016.594278,20.43,-999.0,43.8,6.78,-999.0,41.93 
2015-05-01,16:30:00,1016.932917,21.55,-999.0,48.68,4.77,-999.0,27.1 
2015-05-01,17:30:00,1016.594278,22.4,-999.0,46.61,3.31,-999.0,332.2 
2015-05-01,18:30:00,1016.255639,21.45,-999.0,57.55,6.66,-999.0,306.9 
2015-05-01,19:30:00,1015.578361,22.7,-999.0,50.51,6.58,-999.0,312.4 
2015-05-01,20:30:00,1014.901083,23.65,-999.0,46.58,4.82,-999.0,316.6 
2015-05-01,21:30:00,1014.562444,24.79,-999.0,31.9,6.06,-999.0,349.0 
2015-05-01,22:30:00,1014.562444,23.73,-999.0,51.47,5.49,-999.0,319.7 
2015-05-01,23:30:00,1014.901083,22.76,-999.0,64.15,4.38,-999.0,271.0 
2015-05-02,00:30:00,1015.578361,22.77,-999.0,57.66,3.49,-999.0,300.5 
2015-05-02,01:30:00,1016.255639,22.97,-999.0,47.73,1.22,-999.0,7.458 
2015-05-02,02:30:00,1017.271556,20.64,-999.0,47.12,4.86,-999.0,40.49 
2015-05-02,03:30:00,1017.610195,19.83,-999.0,51.7,5.99,-999.0,44.84 
2015-05-02,04:30:00,1017.948834,18.79,-999.0,54.62,5.54,-999.0,50.33 
2015-05-02,05:30:00,1017.948834,17.84,-999.0,55.61,5.36,-999.0,56.97 
2015-05-02,06:30:00,1017.948834,17.23,-999.0,62.62,5.06,-999.0,59.35 
2015-05-02,07:30:00,1017.610195,16.56,-999.0,64.52,4.28,-999.0,52.36 
2015-05-02,08:30:00,1017.610195,15.95,-999.0,63.23,4.43,-999.0,52.26 
2015-05-02,09:30:00,1017.610195,15.45,-999.0,67.45,4.5,-999.0,56.05 
2015-05-02,10:30:00,1017.948834,15.05,-999.0,68.51,4.37,-999.0,56.81 
