date,time,depth (m),sea_water_speed (cm s-1),direction_of_sea_water_velocity (degrees_true),upward_sea_water_velocity (cm s-1),eastward_sea_water_velocity (cm s-1),northward_sea_water_velocity (cm s-1),mass_concentration_of_chlorophyll_in_sea_water (ug L-1),mole_concentration_of_dissolved_molecular_oxygen_in_sea_water (ug L-1),sea_surface_height_above_sea_level (m),sea_water_practical_salinity (PSU),sea_water_temperature (Celsius),sea_water_turbidity (NTU) 
2015-11-01,00:00:00,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.223,-999.0,-999.0,-999.0 
2015-11-01,00:00:00,2.223,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.22,23.56,-999.0 
2015-11-01,01:00:00,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.229,-999.0,-999.0,-999.0 
2015-11-01,01:00:00,2.229,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.69,23.59,-999.0 
2015-11-01,02:00:00,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.329,-999.0,-999.0,-999.0 
2015-11-01,02:00:00,2.329,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.16,23.61,-999.0 
2015-11-01,03:00:00,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.513,-999.0,-999.0,-999.0 
2015-11-01,03:00:00,2.513,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.58,23.6,-999.0 
2015-11-01,04:00:00,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.542,-999.0,-999.0,-999.0 
2015-11-01,04:00:00,2.542,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.83,23.58,-999.0 
2015-11-01,05:00:00,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.402,-999.0,-999.0,-999.0 
2015-11-01,05:00:00,2.402,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,23.77,23.53,-999.0 
2015-11-01,05:30:00,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.345,-999.0,-999.0,-999.0 
2015-11-01,05:30:00,2.345,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.88,23.6,-999.0 
2015-11-01,07:00:00,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.455,-999.0,-999.0,-999.0 
2015-11-01,07:00:00,2.455,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,25.0,23.68,-999.0 
2015-11-01,08:00:00,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.493,-999.0,-999.0,-999.0 
2015-11-01,08:00:00,2.493,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,25.07,23.55,-999.0 
2015-11-01,09:00:00,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.454,-999.0,-999.0,-999.0 
2015-11-01,09:00:00,2.454,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,25.32,23.7,-999.0 
2015-11-01,10:00:00,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.364,-999.0,-999.0,-999.0 
2015-11-01,10:00:00,2.364,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.71,23.76,-999.0 
2015-11-01,11:00:00,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.326,-999.0,-999.0,-999.0 
2015-11-01,11:00:00,2.326,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.77,23.75,-999.0 
2015-11-01,12:00:00,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.268,-999.0,-999.0,-999.0 
2015-11-01,12:00:00,2.268,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,25.41,23.61,-999.0 
