date,time,air_pressure,air_temperature,dew_point_temperature,relative_humidity,wind_speed,wind_speed_of_gust,wind_to_direction
2015-11-01,00:05:00,1029.66,26.99,-999,85.34,3.566,4.32,158.177
2015-11-01,00:35:00,1029.95,26.94,-999,86,3.212,3.927,155.93
2015-11-01,04:05:00,1030.09,26.65,-999,91.04,3.509,4.19,121.756
2015-11-01,04:35:00,1030.05,26.6,-999,91.21,3.698,4.4,123.256
2015-11-01,05:05:00,1029.8,26.49,-999,90.44,5.3,6.47,121.279
2015-11-01,05:35:00,1029.6,26.5,-999,86.13,5.237,6.177,126.395
2015-11-01,06:05:00,1029.43,26.51,-999,83.94,6.118,7.413,121.319
2015-11-01,06:35:00,1029.39,26.32,-999,85.04,6.144,7.537,125.872
2015-11-01,07:05:00,1029.39,26.33,-999,86.97,6.356,7.577,126.046
2015-11-01,07:35:00,1029.29,26.35,-999,88.19,6.988,8.55,134.844
2015-11-01,08:05:00,1029.12,25.99,-999,90.36,7.191,8.443,130.245
2015-11-01,08:35:00,1029.01,25.7,-999,91.85,7.497,8.733,129.128
2015-11-01,09:05:00,1029.11,25.81,-999,91.39,7,8.343,130.646
2015-11-01,09:35:00,1029,25.74,-999,90.65,7.332,8.553,128.866
2015-11-01,10:05:00,1029.21,26.12,-999,90.66,6.832,8.227,130.086
2015-11-01,10:35:00,1029.4,26.36,-999,90.7,7.424,8.82,140.285
2015-11-01,11:05:00,1029.34,26.28,-999,90.38,7.572,8.99,146.037
2015-11-01,11:35:00,1029.47,26.26,-999,90.72,7.096,8.77,142.474
2015-11-01,12:05:00,1029.77,26.28,-999,90.49,6.991,8.43,145.07
2015-11-01,12:35:00,1029.96,26.41,-999,90.32,7.007,8.387,146.777
2015-11-01,13:05:00,1030.1,26.53,-999,90.19,6.586,8.01,149.765
2015-11-01,13:35:00,1030.22,26.65,-999,88.07,6.985,8.437,155.184
2015-11-01,14:05:00,1030.33,26.73,-999,88.11,6.815,8.61,154.102
2015-11-01,14:35:00,1030.64,26.88,-999,88.11,6.985,8.447,153.817
